Country-City,Date,Temperature,Timestamp
"Albania, Tirana*",วันอาทิตย์ 11:11,15 °C,30/3/2025
"Algeria, Algiers",วันอาทิตย์ 10:11,13 °C,30/3/2025
"Angola, Luanda",วันอาทิตย์ 10:11,29 °C,30/3/2025
"Antigua and Barbuda, Saint John's",วันอาทิตย์ 05:11,25 °C,30/3/2025
"Argentina, Buenos Aires",วันอาทิตย์ 06:11,23 °C,30/3/2025
"Argentina, Córdoba, Córdoba",วันอาทิตย์ 06:11,21 °C,30/3/2025
"Armenia, Yerevan",วันอาทิตย์ 13:11,17 °C,30/3/2025
"Australia, Australian Capital Territory, Canberra*",วันอาทิตย์ 20:11,17 °C,30/3/2025
"Australia, New South Wales, Sydney*",วันอาทิตย์ 20:11,22 °C,30/3/2025
"Australia, Northern Territory, Alice Springs",วันอาทิตย์ 18:41,26 °C,30/3/2025
"Australia, Northern Territory, Darwin",วันอาทิตย์ 18:41,26 °C,30/3/2025
"Australia, Queensland, Brisbane",วันอาทิตย์ 19:11,27 °C,30/3/2025
"Australia, Queensland, Cairns",วันอาทิตย์ 19:11,28 °C,30/3/2025
"Australia, South Australia, Adelaide*",วันอาทิตย์ 19:41,21 °C,30/3/2025
"Australia, Tasmania, Hobart*",วันอาทิตย์ 20:11,14 °C,30/3/2025
"Australia, Victoria, Melbourne*",วันอาทิตย์ 20:11,17 °C,30/3/2025
"Australia, Western Australia, Eucla",วันอาทิตย์ 17:56,21 °C,30/3/2025
"Australia, Western Australia, Perth",วันอาทิตย์ 17:11,29 °C,30/3/2025
"Austria, Vienna, Vienna*",วันอาทิตย์ 11:11,9 °C,30/3/2025
"Azerbaijan, Baku",วันอาทิตย์ 13:11,20 °C,30/3/2025
"Bahamas, Nassau*",วันอาทิตย์ 05:11,24 °C,30/3/2025
"Bahrain, Manama",วันอาทิตย์ 12:11,27 °C,30/3/2025
"Bangladesh, Dhaka",วันอาทิตย์ 15:11,34 °C,30/3/2025
"Barbados, Bridgetown",วันอาทิตย์ 05:11,25 °C,30/3/2025
"Belarus, Minsk",วันอาทิตย์ 12:11,8 °C,30/3/2025
"Belgium, Brussels, Brussels*",วันอาทิตย์ 11:11,9 °C,30/3/2025
"Belize, Belmopan",วันอาทิตย์ 03:11,27 °C,30/3/2025
"Benin, Porto Novo",วันอาทิตย์ 10:11,30 °C,30/3/2025
"Bermuda, Hamilton*",วันอาทิตย์ 06:11,15 °C,30/3/2025
"Bhutan, Thimphu",วันอาทิตย์ 15:11,10 °C,30/3/2025
"Bolivia, La Paz",วันอาทิตย์ 05:11,4 °C,30/3/2025
"Bosnia-Herzegovina, Sarajevo*",วันอาทิตย์ 11:11,10 °C,30/3/2025
"Botswana, Gaborone",วันอาทิตย์ 11:11,26 °C,30/3/2025
"Brazil, Acre, Rio Branco",วันอาทิตย์ 04:11,24 °C,30/3/2025
"Brazil, Amazonas, Manaus",วันอาทิตย์ 05:11,26 °C,30/3/2025
"Brazil, Bahia, Salvador",วันอาทิตย์ 06:11,24 °C,30/3/2025
"Brazil, Ceará, Fortaleza",วันอาทิตย์ 06:11,26 °C,30/3/2025
"Brazil, Distrito Federal, Brasilia",วันอาทิตย์ 06:11,20 °C,30/3/2025
"Brazil, Pará, Belém",วันอาทิตย์ 06:11,25 °C,30/3/2025
"Brazil, Pernambuco, Recife",วันอาทิตย์ 06:11,25 °C,30/3/2025
"Brazil, Rio de Janeiro, Rio de Janeiro",วันอาทิตย์ 06:11,24 °C,30/3/2025
"Brazil, São Paulo, São Paulo",วันอาทิตย์ 06:11,20 °C,30/3/2025
"Brunei, Bandar Seri Begawan",วันอาทิตย์ 17:11,30 °C,30/3/2025
"Bulgaria, Sofia*",วันอาทิตย์ 12:11,9 °C,30/3/2025
"Cabo Verde, Praia",วันอาทิตย์ 08:11,20 °C,30/3/2025
"Cambodia, Phnom Penh",วันอาทิตย์ 16:11,35 °C,30/3/2025
"Cameroon, Yaoundé",วันอาทิตย์ 10:11,26 °C,30/3/2025
"Canada, Alberta, Calgary*",วันอาทิตย์ 03:11,-5 °C,30/3/2025
"Canada, Alberta, Edmonton*",วันอาทิตย์ 03:11,-15 °C,30/3/2025
"Canada, British Columbia, Vancouver*",วันอาทิตย์ 02:11,6 °C,30/3/2025
"Canada, Manitoba, Winnipeg*",วันอาทิตย์ 04:11,-6 °C,30/3/2025
"Canada, New Brunswick, Saint John*",วันอาทิตย์ 06:11,-5 °C,30/3/2025
"Canada, Newfoundland and Labrador, Happy Valley-Goose Bay*",วันอาทิตย์ 06:11,-12 °C,30/3/2025
"Canada, Newfoundland and Labrador, Mary's Harbour*",วันอาทิตย์ 06:41,-11 °C,30/3/2025
"Canada, Newfoundland and Labrador, St. John's*",วันอาทิตย์ 06:41,-6 °C,30/3/2025
"Canada, Northwest Territories, Inuvik*",วันอาทิตย์ 03:11,-12 °C,30/3/2025
"Canada, Northwest Territories, Yellowknife*",วันอาทิตย์ 03:11,-20 °C,30/3/2025
"Canada, Nova Scotia, Halifax*",วันอาทิตย์ 06:11,-5 °C,30/3/2025
"Canada, Nunavut, Alert*",วันอาทิตย์ 05:11,-27 °C,30/3/2025
"Canada, Nunavut, Baker Lake*",วันอาทิตย์ 04:11,-34 °C,30/3/2025
"Canada, Nunavut, Coral Harbour",วันอาทิตย์ 04:11,-31 °C,30/3/2025
"Canada, Nunavut, Eureka",วันอาทิตย์ 04:11,-32 °C,30/3/2025
"Canada, Nunavut, Pond Inlet*",วันอาทิตย์ 05:11,-30 °C,30/3/2025
"Canada, Nunavut, Resolute Bay*",วันอาทิตย์ 04:11,-28 °C,30/3/2025
"Canada, Ontario, Ottawa*",วันอาทิตย์ 05:11,-2 °C,30/3/2025
"Canada, Ontario, Toronto*",วันอาทิตย์ 05:11,0 °C,30/3/2025
"Canada, Quebec, Blanc-Sablon",วันอาทิตย์ 05:11,-4 °C,30/3/2025
"Canada, Quebec, Chibougamau*",วันอาทิตย์ 05:11,-22 °C,30/3/2025
"Canada, Quebec, Kuujjuaq*",วันอาทิตย์ 05:11,-24 °C,30/3/2025
"Canada, Quebec, Montréal*",วันอาทิตย์ 05:11,-1 °C,30/3/2025
"Canada, Quebec, Québec*",วันอาทิตย์ 05:11,-6 °C,30/3/2025
"Canada, Saskatchewan, Regina",วันอาทิตย์ 03:11,-6 °C,30/3/2025
"Canada, Yukon, Whitehorse",วันอาทิตย์ 02:11,-1 °C,30/3/2025
"Central African Republic, Bangui",วันอาทิตย์ 10:11,32 °C,30/3/2025
"Chad, N'Djamena",วันอาทิตย์ 10:11,34 °C,30/3/2025
"Chile, Easter Island*",วันอาทิตย์ 04:11,23 °C,30/3/2025
"Chile, Punta Arenas",วันอาทิตย์ 06:11,2 °C,30/3/2025
"Chile, Santiago*",วันอาทิตย์ 06:11,12 °C,30/3/2025
"China, Beijing Municipality, Beijing",วันอาทิตย์ 17:11,14 °C,30/3/2025
"China, Chongqing Municipality, Chongqing",วันอาทิตย์ 17:11,12 °C,30/3/2025
"China, Guangdong, Shenzhen",วันอาทิตย์ 17:11,11 °C,30/3/2025
"China, Jiangsu, Suzhou",วันอาทิตย์ 17:11,11 °C,30/3/2025
"China, Shanghai Municipality, Shanghai",วันอาทิตย์ 17:11,11 °C,30/3/2025
"China, Tibet, Lhasa",วันอาทิตย์ 17:11,21 °C,30/3/2025
"China, Xinjiang, Ürümqi",วันอาทิตย์ 17:11,8 °C,30/3/2025
"Colombia, Bogota",วันอาทิตย์ 04:11,13 °C,30/3/2025
"Congo, Brazzaville",วันอาทิตย์ 10:11,27 °C,30/3/2025
"Congo Dem. Rep., Kinshasa",วันอาทิตย์ 10:11,27 °C,30/3/2025
"Cook Islands, Rarotonga",วันเสาร์ 23:11,28 °C,30/3/2025
"Costa Rica, San Jose",วันอาทิตย์ 03:11,21 °C,30/3/2025
"Cote d'Ivoire (Ivory Coast), Abidjan",วันอาทิตย์ 09:11,29 °C,30/3/2025
"Cote d'Ivoire (Ivory Coast), Yamoussoukro",วันอาทิตย์ 09:11,24 °C,30/3/2025
"Croatia, Zagreb*",วันอาทิตย์ 11:11,11 °C,30/3/2025
"Cuba, Havana*",วันอาทิตย์ 05:11,23 °C,30/3/2025
"Cyprus, Nicosia*",วันอาทิตย์ 12:11,17 °C,30/3/2025
"Czechia, Prague*",วันอาทิตย์ 11:11,10 °C,30/3/2025
"Denmark, Copenhagen*",วันอาทิตย์ 11:11,6 °C,30/3/2025
"Djibouti, Djibouti",วันอาทิตย์ 12:11,30 °C,30/3/2025
"Dominica, Roseau",วันอาทิตย์ 05:11,25 °C,30/3/2025
"Dominican Republic, Santo Domingo",วันอาทิตย์ 05:11,24 °C,30/3/2025
"Ecuador, Guayaquil",วันอาทิตย์ 04:11,24 °C,30/3/2025
"Egypt, Cairo",วันอาทิตย์ 11:11,22 °C,30/3/2025
"El Salvador, San Salvador",วันอาทิตย์ 03:11,26 °C,30/3/2025
"Equatorial Guinea, Malabo",วันอาทิตย์ 10:11,27 °C,30/3/2025
"Estonia, Tallinn*",วันอาทิตย์ 12:11,7 °C,30/3/2025
"Eswatini, Mbabane",วันอาทิตย์ 11:11,25 °C,30/3/2025
"Ethiopia, Addis Ababa",วันอาทิตย์ 12:11,20 °C,30/3/2025
"Falkland Islands, Stanley",วันอาทิตย์ 06:11,6 °C,30/3/2025
"Faroe Islands, Tórshavn*",วันอาทิตย์ 10:11,4 °C,30/3/2025
"Fiji, Suva",วันอาทิตย์ 21:11,24 °C,30/3/2025
"Finland, Helsinki*",วันอาทิตย์ 12:11,7 °C,30/3/2025
"Finland, Kemi*",วันอาทิตย์ 12:11,2 °C,30/3/2025
"Finland, Rovaniemi*",วันอาทิตย์ 12:11,0 °C,30/3/2025
"France, Kerguelen, Port-aux-Francais",วันอาทิตย์ 14:11,8 °C,30/3/2025
"France, Paris, Paris*",วันอาทิตย์ 11:11,10 °C,30/3/2025
"French Guiana, Cayenne",วันอาทิตย์ 06:11,25 °C,30/3/2025
"French Polynesia, Tahiti, Papeete",วันเสาร์ 23:11,26 °C,30/3/2025
"Gabon, Libreville",วันอาทิตย์ 10:11,27 °C,30/3/2025
"Gambia, Banjul",วันอาทิตย์ 09:11,22 °C,30/3/2025
"Georgia, Tbilisi",วันอาทิตย์ 13:11,16 °C,30/3/2025
"Germany, Berlin, Berlin*",วันอาทิตย์ 11:11,9 °C,30/3/2025
"Germany, Hesse, Frankfurt*",วันอาทิตย์ 11:11,10 °C,30/3/2025
"Ghana, Accra",วันอาทิตย์ 09:11,28 °C,30/3/2025
"Gibraltar, Gibraltar, Gibraltar*",วันอาทิตย์ 11:11,17 °C,30/3/2025
"Greece, Athens*",วันอาทิตย์ 12:11,15 °C,30/3/2025
"Greenland, Danmarkshavn",วันอาทิตย์ 09:11,-22 °C,30/3/2025
"Greenland, Ittoqqortoormiit*",วันอาทิตย์ 08:11,-19 °C,30/3/2025
"Greenland, Kangerlussuaq*",วันอาทิตย์ 08:11,-17 °C,30/3/2025
"Greenland, Nuuk*",วันอาทิตย์ 08:11,-9 °C,30/3/2025
"Greenland, Pituffik*",วันอาทิตย์ 06:11,,30/3/2025
"Grenada, Saint George's",วันอาทิตย์ 05:11,26 °C,30/3/2025
"Guadeloupe, Guadeloupe, Basse-Terre",วันอาทิตย์ 05:11,24 °C,30/3/2025
"Guam, Hagåtña",วันอาทิตย์ 19:11,30 °C,30/3/2025
"Guatemala, Guatemala City",วันอาทิตย์ 03:11,19 °C,30/3/2025
"Guinea, Conakry",วันอาทิตย์ 09:11,26 °C,30/3/2025
"Guinea-Bissau, Bissau",วันอาทิตย์ 09:11,21 °C,30/3/2025
"Guyana, Georgetown",วันอาทิตย์ 05:11,22 °C,30/3/2025
"Honduras, Tegucigalpa",วันอาทิตย์ 03:11,20 °C,30/3/2025
"Hong Kong, Hong Kong",วันอาทิตย์ 17:11,13 °C,30/3/2025
"Hungary, Budapest*",วันอาทิตย์ 11:11,14 °C,30/3/2025
"Iceland, Reykjavik",วันอาทิตย์ 09:11,-1 °C,30/3/2025
"India, Bihar, Patna",วันอาทิตย์ 14:41,34 °C,30/3/2025
"India, Delhi, Delhi",วันอาทิตย์ 14:41,29 °C,30/3/2025
"India, Delhi, New Delhi",วันอาทิตย์ 14:41,29 °C,30/3/2025
"India, Karnataka, Bengaluru",วันอาทิตย์ 14:41,33 °C,30/3/2025
"India, Kerala, Thiruvananthapuram",วันอาทิตย์ 14:41,34 °C,30/3/2025
"India, Madhya Pradesh, Indore",วันอาทิตย์ 14:41,32 °C,30/3/2025
"India, Maharashtra, Mumbai",วันอาทิตย์ 14:41,32 °C,30/3/2025
"India, Maharashtra, Pune",วันอาทิตย์ 14:41,35 °C,30/3/2025
"India, Odisha, Bhubaneshwar",วันอาทิตย์ 14:41,34 °C,30/3/2025
"India, Punjab, Ahmedgarh",วันอาทิตย์ 14:41,27 °C,30/3/2025
"India, Punjab, Ludhiana",วันอาทิตย์ 14:41,27 °C,30/3/2025
"India, Tamil Nadu, Chennai",วันอาทิตย์ 14:41,34 °C,30/3/2025
"India, Uttar Pradesh, Varanasi",วันอาทิตย์ 14:41,32 °C,30/3/2025
"India, West Bengal, Kolkata",วันอาทิตย์ 14:41,35 °C,30/3/2025
"Indonesia, Bali, Denpasar",วันอาทิตย์ 17:11,28 °C,30/3/2025
"Indonesia, East Java, Surabaya",วันอาทิตย์ 16:11,31 °C,30/3/2025
"Indonesia, East Kalimantan, Balikpapan",วันอาทิตย์ 17:11,28 °C,30/3/2025
"Indonesia, East Kalimantan, Nusantara",วันอาทิตย์ 17:11,27 °C,30/3/2025
"Indonesia, Jakarta Special Capital Region, Jakarta",วันอาทิตย์ 16:11,34 °C,30/3/2025
"Indonesia, North Sulawesi, Manado",วันอาทิตย์ 17:11,26 °C,30/3/2025
"Indonesia, Papua, Jayapura",วันอาทิตย์ 18:11,31 °C,30/3/2025
"Indonesia, South Sulawesi, Makassar",วันอาทิตย์ 17:11,26 °C,30/3/2025
"Indonesia, West Kalimantan, Pontianak",วันอาทิตย์ 16:11,30 °C,30/3/2025
"Indonesia, West Papua, Manokwari",วันอาทิตย์ 18:11,29 °C,30/3/2025
"Iran, Tehran",วันอาทิตย์ 12:41,25 °C,30/3/2025
"Iraq, Baghdad",วันอาทิตย์ 12:11,23 °C,30/3/2025
"Ireland, Dublin*",วันอาทิตย์ 10:11,9 °C,30/3/2025
"Isle of Man, Douglas*",วันอาทิตย์ 10:11,10 °C,30/3/2025
"Israel, Jerusalem*",วันอาทิตย์ 12:11,20 °C,30/3/2025
"Israel, Tel Aviv*",วันอาทิตย์ 12:11,20 °C,30/3/2025
"Italy, Milan*",วันอาทิตย์ 11:11,14 °C,30/3/2025
"Italy, Rome*",วันอาทิตย์ 11:11,15 °C,30/3/2025
"Jamaica, Kingston",วันอาทิตย์ 04:11,26 °C,30/3/2025
"Japan, Kobe",วันอาทิตย์ 18:11,8 °C,30/3/2025
"Japan, Kyoto",วันอาทิตย์ 18:11,8 °C,30/3/2025
"Japan, Nagoya",วันอาทิตย์ 18:11,8 °C,30/3/2025
"Japan, Osaka",วันอาทิตย์ 18:11,9 °C,30/3/2025
"Japan, Sapporo",วันอาทิตย์ 18:11,2 °C,30/3/2025
"Japan, Tokyo",วันอาทิตย์ 18:11,13 °C,30/3/2025
"Japan, Yokohama",วันอาทิตย์ 18:11,12 °C,30/3/2025
"Jordan, Amman",วันอาทิตย์ 12:11,15 °C,30/3/2025
"Kazakhstan, Almaty",วันอาทิตย์ 14:11,14 °C,30/3/2025
"Kazakhstan, Aqtobe",วันอาทิตย์ 14:11,14 °C,30/3/2025
"Kazakhstan, Astana",วันอาทิตย์ 14:11,9 °C,30/3/2025
"Kazakhstan, Oral",วันอาทิตย์ 14:11,10 °C,30/3/2025
"Kenya, Nairobi",วันอาทิตย์ 12:11,23 °C,30/3/2025
"Kiribati, Christmas Island, Kiritimati",วันอาทิตย์ 23:11,27 °C,30/3/2025
"Kiribati, Tarawa",วันอาทิตย์ 21:11,30 °C,30/3/2025
"Kosovo, Pristina*",วันอาทิตย์ 11:11,9 °C,30/3/2025
"Kuwait, Kuwait City",วันอาทิตย์ 12:11,26 °C,30/3/2025
"Kyrgyzstan, Bishkek",วันอาทิตย์ 15:11,8 °C,30/3/2025
"Laos, Vientiane",วันอาทิตย์ 16:11,29 °C,30/3/2025
"Latvia, Riga*",วันอาทิตย์ 12:11,10 °C,30/3/2025
"Lebanon, Beirut*",วันอาทิตย์ 12:11,19 °C,30/3/2025
"Lesotho, Maseru",วันอาทิตย์ 11:11,21 °C,30/3/2025
"Liberia, Monrovia",วันอาทิตย์ 09:11,26 °C,30/3/2025
"Liechtenstein, Vaduz*",วันอาทิตย์ 11:11,8 °C,30/3/2025
"Lithuania, Vilnius*",วันอาทิตย์ 12:11,10 °C,30/3/2025
"Luxembourg, Luxembourg*",วันอาทิตย์ 11:11,6 °C,30/3/2025
"Madagascar, Antananarivo",วันอาทิตย์ 12:11,24 °C,30/3/2025
"Malawi, Lilongwe",วันอาทิตย์ 11:11,22 °C,30/3/2025
"Malaysia, Kuala Lumpur, Kuala Lumpur",วันอาทิตย์ 17:11,33 °C,30/3/2025
"Maldives, Male",วันอาทิตย์ 14:11,33 °C,30/3/2025
"Mali, Bamako",วันอาทิตย์ 09:11,30 °C,30/3/2025
"Malta, Valletta*",วันอาทิตย์ 11:11,15 °C,30/3/2025
"Marshall Islands, Majuro",วันอาทิตย์ 21:11,28 °C,30/3/2025
"Martinique, Fort-de-France",วันอาทิตย์ 05:11,25 °C,30/3/2025
"Mauritius, Port Louis",วันอาทิตย์ 13:11,25 °C,30/3/2025
"Mexico, Aguascalientes, Aguascalientes",วันอาทิตย์ 03:11,11 °C,30/3/2025
"Mexico, Baja California, Mexicali*",วันอาทิตย์ 02:11,15 °C,30/3/2025
"Mexico, Baja California, Tijuana*",วันอาทิตย์ 02:11,13 °C,30/3/2025
"Mexico, Ciudad de México, Mexico City",วันอาทิตย์ 03:11,16 °C,30/3/2025
"Mexico, Guerrero, Acapulco",วันอาทิตย์ 03:11,25 °C,30/3/2025
"Mexico, Jalisco, Guadalajara",วันอาทิตย์ 03:11,15 °C,30/3/2025
"Mexico, Quintana Roo, Cancún",วันอาทิตย์ 04:11,26 °C,30/3/2025
"Mexico, Sinaloa, Mazatlan",วันอาทิตย์ 02:11,13 °C,30/3/2025
"Mexico, Sonora, Hermosillo",วันอาทิตย์ 02:11,17 °C,30/3/2025
"Mexico, Veracruz, Veracruz",วันอาทิตย์ 03:11,25 °C,30/3/2025
"Micronesia, Pohnpei, Palikir",วันอาทิตย์ 20:11,29 °C,30/3/2025
"Moldova, Chișinău*",วันอาทิตย์ 12:11,8 °C,30/3/2025
"Monaco, Monaco*",วันอาทิตย์ 11:11,17 °C,30/3/2025
"Mongolia, Hovd",วันอาทิตย์ 16:11,7 °C,30/3/2025
"Mongolia, Ulaanbaatar",วันอาทิตย์ 17:11,4 °C,30/3/2025
"Montenegro, Podgorica*",วันอาทิตย์ 11:11,14 °C,30/3/2025
"Morocco, Casablanca",วันอาทิตย์ 09:11,15 °C,30/3/2025
"Morocco, Rabat",วันอาทิตย์ 09:11,17 °C,30/3/2025
"Mozambique, Maputo",วันอาทิตย์ 11:11,29 °C,30/3/2025
"Myanmar, Yangon",วันอาทิตย์ 15:41,36 °C,30/3/2025
"Namibia, Windhoek",วันอาทิตย์ 11:11,18 °C,30/3/2025
"Nepal, Kathmandu",วันอาทิตย์ 14:56,28 °C,30/3/2025
"Netherlands, Amsterdam*",วันอาทิตย์ 11:11,11 °C,30/3/2025
